"age","len_mar_stat","count"
"42","20",3491
"38","20",2558
"18","1",2082
"16","99",77156
"14","99",79542
"12","99",83641
"10","99",88482
"8","99",90012
"6","99",92346
"1","99",89092
"23","1",4754
"60","33",825
"52","33",1088
"24","1",4532
"22","1",4848
"52","99",6539
"47","19",963
"41","19",2164
"13","99",78449
"9","99",84579
"23","99",43096
"71","28",41
"52","28",1420
"28","99",24049
"21","99",52392
"29","99",18579
"22","99",49137
"20","99",61421
"24","99",39181
"27","99",24926
"50","99",11349
"5","99",91827
"17","99",71592
"55","24",470
"43","24",1543
"3","99",92898
"37","11",2018
"38","11",1928
"7","99",90191
"42","99",8329
"18","99",71361
"36","99",10176
"27","1",3062
"26","1",3447
"44","23",1982
"40","23",1153
"11","99",79756
"75","16",21
"36","16",2506
"4","99",93000
"60","40",1569
"56","40",399
"32","99",14652
"32","10",4590
"31","10",3714
"2","99",92887
"27","4",4242
"23","4",3823
"0","99",97805
"28","6",4134
"23","6",2196
"65","1",119
"40","1",755
"36","1",662
"21","1",4098
"45","32",115
"50","20",1760
"40","20",4422
"60","35",1382
"52","35",667
"15","99",77142
"26","6",4092
"22","6",1483
"24","2",5068
"22","2",4750
"26","99",28549
"26","2",4130
"20","2",3405
"56","10",184
"50","10",601
"40","15",3212
"30","15",904
"56","5",121
"29","5",3792
"50","25",2653
"40","25",816
"19","99",62658
"27","7",3973
"23","7",1431
"38","1",718
"46","23",1774
"43","23",1871
"73","99",3722
"72","45",287
"50","45",8
"35","12",3662
"30","12",2988
"60","1",182
"61","8",49
"34","8",2460
"34","99",11800
"30","99",23406
"31","6",2546
"24","6",2973
"46","22",1731
"48","22",1329
"39","5",829
"28","5",4408
"32","5",2465
"24","5",3928
"52","20",820
"35","20",826
"32","14",2025
"34","14",2729
"28","14",370
"50","2",244
"40","2",635
"51","29",1192
"48","29",1098
"52","18",458
"45","18",1723
"25","3",4980
"30","3",3121
"60","4",106
"50","4",269
"72","50",442
"69","50",347
"51","13",227
"50","13",371
"38","13",2581
"43","13",933
"25","4",5011
"20","4",1512
"60","15",178
"45","15",1337
"56","20",410
"48","20",1592
"58","33",967
"25","99",35595
"35","9",2532
"29","9",3296
"30","2",2727
"19","2",2206
"35","99",14595
"48","10",464
"26","10",1411
"41","12",1150
"49","22",1052
"40","22",1779
"26","3",4345
"18","3",773
"38","18",2851
"56","27",620
"42","27",344
"55","30",2108
"48","30",1516
"26","7",3333
"25","7",2993
"76","99",3161
"40","18",3468
"27","3",4070
"20","3",2541
"27","5",4543
"25","5",4837
"27","16",54
"24","3",5104
"20","5",840
"57","41",153
"58","41",241
"60","32",683
"50","32",1119
"59","26",279
"55","26",742
"31","0",803
"30","0",1462
"22","5",2427
"24","7",2131
"19","1",3007
"46","99",6256
"21","3",3083
"38","3",827
"38","0",399
"35","0",623
"35","7",2011
"40","7",1023
"72","33",48
"74","33",45
"44","15",1130
"55","99",7716
"28","3",3817
"57","99",5104
"40","99",14535
"65","99",7173
"28","4",4109
"25","10",1071
"45","22",2187
"56","99",6053
"21","2",3733
"22","4",3254
"19","4",705
"68","99",4666
"26","4",4544
"62","27",173
"43","27",576
"45","24",2015
"44","24",1865
"75","99",4346
"52","27",1395
"48","27",1791
"28","1",2692
"60","20",467
"46","18",1130
"43","18",2041
"43","0",195
"46","0",144
"30","8",4838
"26","8",2763
"40","17",2935
"46","17",843
"51","99",5441
"20","1",3922
"39","19",2355
"35","19",855
"64","40",950
"59","40",875
"29","6",3590
"27","6",4254
"51","22",682
"40","19",2846
"34","19",437
"50","19",706
"27","15",94
"38","5",1014
"23","5",3179
"69","99",4515
"32","7",3188
"31","7",3130
"35","10",3841
"25","2",4864
"18","2",1398
"53","35",783
"48","35",123
"25","6",3728
"45","16",1239
"31","16",464
"38","99",10882
"53","99",5584
"63","99",5327
"59","99",5601
"46","19",1184
"45","19",1600
"60","99",9789
"33","99",11956
"80","99",2966
"38","23",430
"36","8",1755
"25","8",2260
"38","12",2716
"28","12",1275
"41","17",2068
"50","17",560
"70","50",526
"75","50",361
"49","99",6595
"45","20",3051
"43","20",2946
"47","99",6049
"25","11",426
"24","11",157
"39","14",2452
"38","10",2431
"59","23",163
"51","23",699
"46","13",502
"33","13",2840
"38","21",1071
"33","21",48
"71","99",3500
"63","24",122
"53","24",593
"54","33",1293
"35","14",3026
"65","28",147
"56","28",666
"36","10",2829
"30","10",5121
"61","99",4375
"79","99",2278
"48","14",446
"49","5",242
"28","10",3092
"60","25",515
"23","3",4687
"56","12",152
"64","12",63
"38","15",3366
"37","15",3019
"70","99",6582
"46","9",337
"25","9",1353
"70","7",32
"44","7",427
"78","99",2681
"54","28",900
"48","28",1627
"47","24",1665
"39","24",393
"39","10",1948
"33","10",4090
"41","8",636
"29","8",3834
"47","26",1747
"41","26",298
"54","14",187
"44","14",864
"34","4",1463
"21","5",1372
"52","10",280
"31","11",2590
"29","11",1974
"22","0",3789
"18","0",2276
"43","25",1493
"52","30",2326
"44","30",255
"29","7",3851
"30","7",4545
"72","3",20
"43","3",300
"47","17",758
"38","17",2850
"29","10",3355
"30","1",2227
"32","13",2502
"25","1",4239
"51","30",2025
"38","4",923
"48","16",569
"32","16",986
"42","22",2251
"36","22",219
"44","99",7107
"43","11",673
"30","11",2937
"72","99",4166
"29","4",3242
"34","15",2477
"31","15",841
"55","9",142
"27","9",2403
"39","17",2814
"74","8",10
"57","8",95
"50","14",454
"33","20",174
"60","30",1377
"50","30",3379
"58","29",424
"57","31",746
"58","31",627
"60","34",886
"50","34",508
"33","8",2926
"27","8",3390
"55","31",1057
"51","31",1062
"29","1",2182
"15","1",171
"36","6",1261
"21","6",709
"32","9",3369
"26","9",1878
"58","27",350
"45","27",1265
"23","2",5179
"17","2",620
"45","99",9925
"31","1",1290
"13","1",19
"45","6",413
"19","6",133
"58","45",32
"55","45",25
"36","15",3036
"29","2",2565
"33","11",3117
"32","2",1600
"79","22",9
"60","22",185
"40","10",2174
"57","22",230
"50","22",1151
"54","26",750
"53","26",852
"65","43",503
"55","43",22
"42","1",404
"39","1",527
"46","16",849
"40","16",3011
"40","14",2309
"41","20",2801
"31","2",1584
"64","42",583
"34","13",2944
"35","13",3173
"65","30",463
"53","30",1996
"43","99",6944
"58","18",180
"37","18",2145
"88","99",503
"42","14",1335
"47","7",284
"22","7",783
"37","12",2596
"42","9",634
"30","9",4156
"69","43",291
"57","43",51
"31","99",13050
"37","10",2376
"33","12",3482
"32","11",3209
"41","22",1549
"42","18",2498
"39","4",720
"39","15",2939
"62","34",529
"42","15",1820
"53","23",563
"53","21",377
"45","21",1942
"46","24",1800
"45","7",459
"55","23",429
"45","23",2174
"69","48",317
"56","48",9
"43","14",1047
"55","25",918
"36","11",2305
"44","16",1206
"48","12",484
"83","99",1279
"51","26",1234
"54","21",318
"37","14",2821
"55","2",147
"57","2",80
"37","3",729
"33","3",1508
"37","19",1586
"20","6",407
"37","20",1589
"34","16",1787
"21","4",2172
"46","20",1989
"65","36",340
"60","36",739
"27","11",1040
"61","33",502
"24","4",4603
"60","37",637
"55","37",521
"39","23",631
"50","21",858
"62","28",195
"50","28",2028
"35","15",3155
"47","23",1601
"39","0",350
"25","0",3032
"46","25",2206
"30","25",20
"39","12",2146
"25","12",283
"70","49",271
"68","49",208
"57","25",435
"37","7",1304
"45","3",354
"39","3",648
"23","0",3440
"24","0",3362
"80","34",18
"53","15",288
"67","20",106
"52","1",174
"37","1",624
"59","25",327
"42","7",596
"24","10",563
"24","8",1432
"75","40",195
"70","40",608
"29","13",928
"28","13",635
"35","18",1456
"44","28",527
"67","99",4976
"55","15",248
"50","26",1857
"45","26",1634
"39","20",2836
"65","6",59
"40","6",905
"55","33",1485
"35","4",1334
"30","4",3444
"35","1",1030
"48","24",1684
"32","1",1297
"37","99",9213
"53","31",1104
"52","31",1241
"40","12",2192
"66","99",5054
