"trip_time_in_secs","trip_distance","diffix_count"
707,2,81
123,0,81
459,1,202
477,1,204
507,1,171
210,0,172
1136,2,20
418,0,51
970,1,11
1258,9,3
1076,3,17
181,0,143
4,0,53
193,1,28
647,0,8
150,0,126
104,0,78
310,0,122
936,2,29
940,1,19
467,2,34
542,1,126
496,1,169
594,1,116
435,1,210
256,0,173
508,1,181
216,0,174
154,0,150
12,0,27
254,0,176
194,0,174
584,3,15
274,0,174
247,0,174
231,0,159
223,0,170
275,0,183
323,1,140
183,0,161
257,0,194
412,0,53
269,0,159
100,0,59
779,1,43
895,6,9
563,2,57
74,0,41
316,1,131
160,0,143
647,2,69
252,0,195
377,1,181
197,0,145
588,3,18
437,2,38
240,1,3733
446,0,42
261,1,80
668,4,11
326,0,141
427,2,29
436,1,195
220,0,155
306,0,132
203,0,161
195,0,152
213,0,181
321,1,134
259,0,190
376,1,162
380,1,178
263,1,88
580,2,68
289,1,90
293,1,118
757,4,6
570,2,62
388,0,66
157,0,142
685,5,9
305,0,119
375,0,85
504,1,171
473,1,201
490,1,179
101,0,72
127,0,111
477,3,5
322,0,118
255,0,152
335,1,156
468,2,46
173,0,153
269,1,113
635,2,57
329,2,3
466,0,31
573,2,58
118,0,84
455,2,32
648,2,60
318,0,143
532,1,134
593,2,74
272,1,105
387,2,37
627,1,108
394,1,166
337,1,145
273,1,99
415,1,170
543,3,13
363,1,193
236,0,169
512,2,63
248,0,173
294,0,146
373,1,168
664,1,100
347,0,109
308,1,127
393,1,182
389,1,195
242,0,173
423,1,197
297,1,108
341,1,148
461,2,33
511,1,162
234,0,158
352,0,83
314,1,144
169,0,171
244,0,152
511,0,31
418,2,28
382,1,177
338,0,107
344,1,156
421,0,68
310,1,125
290,1,122
364,0,86
392,1,174
222,1,46
543,2,47
266,1,90
381,1,168
682,3,23
449,0,46
425,1,204
488,2,50
569,1,126
487,0,33
431,1,176
336,2,9
424,1,218
362,1,199
413,1,186
491,0,32
245,0,179
386,1,209
418,1,185
493,1,179
457,2,38
338,2,14
243,0,177
557,1,128
603,2,66
251,0,186
581,3,16
200,0,179
397,0,67
491,1,170
430,1,190
796,6,6
402,1,198
671,4,11
636,2,58
420,1,10950
449,1,170
497,1,164
428,0,46
262,0,166
338,1,168
742,2,72
608,0,15
598,2,67
248,1,72
615,2,72
292,0,161
166,0,143
494,1,163
217,0,210
271,1,86
609,2,57
295,1,108
512,0,27
230,0,154
419,1,187
447,2,45
222,0,160
474,1,177
605,1,115
329,1,145
458,1,212
116,0,87
315,2,8
185,0,157
516,0,29
198,0,184
317,2,3
381,0,85
