"trip_time_in_secs","trip_distance","count"
705,0,854
120,0,5741
455,0,1437
475,0,1334
765,0,762
505,0,1319
210,0,1095
1135,0,202
415,0,1365
945,5,120
970,0,389
1255,5,102
1075,0,295
180,0,10836
0,0,1199
190,0,927
645,0,979
150,0,744
100,0,349
310,0,1316
935,0,437
940,0,465
465,0,1355
885,0,527
540,0,15761
495,0,1303
590,0,1091
435,0,1445
255,0,1332
215,0,1110
10,0,117
250,0,1286
580,0,1118
270,0,1304
245,0,1235
230,0,1137
220,0,1072
275,0,1380
320,0,1387
410,0,1379
760,5,49
265,0,1267
775,0,725
895,5,72
560,0,1132
70,0,168
315,0,1400
160,0,779
375,0,1377
195,0,988
585,0,1123
240,0,14902
445,0,1298
260,0,1287
360,0,17906
665,0,928
325,0,1451
425,0,1388
305,0,1327
200,0,1056
790,5,62
380,0,1372
285,0,1280
290,0,1333
755,0,780
570,0,1137
385,0,1414
155,0,743
685,5,37
500,0,1353
470,0,1295
490,0,1320
125,0,518
690,0,877
335,0,1387
170,0,827
635,0,952
115,0,460
530,0,1153
625,0,1036
390,0,1310
235,0,1133
510,0,1265
370,0,1384
660,0,12559
345,0,1422
420,0,17726
295,0,1353
340,0,1395
460,0,1396
350,0,1434
825,5,64
165,0,857
680,0,895
485,0,1323
565,0,1152
430,0,1293
555,0,1176
600,0,14127
395,0,1370
795,5,67
400,0,1430
670,0,945
765,5,45
740,0,811
605,0,1056
595,0,1104
615,0,1026
185,0,911
515,0,1236
440,0,1465
750,0,822
640,0,1004
820,0,638
225,0,1163
535,0,1207
770,0,733
130,0,544
730,0,800
300,0,17247
450,0,1325
480,0,17102
405,0,1321
365,0,1409
45,0,113
575,0,1177
550,0,1249
520,0,1300
135,0,599
980,5,97
1425,5,60
620,0,1055
545,0,1207
785,0,715
1105,5,96
695,0,928
280,0,1379
330,0,1355
110,0,431
875,0,556
1030,0,317
1525,5,48
925,0,465
985,5,115
965,5,84
1500,15,145
1430,5,59
1065,0,239
1400,0,77
845,0,571
840,0,8014
1325,0,96
1030,10,12
890,5,80
910,0,476
800,0,682
1190,5,84
1285,5,86
860,0,523
1000,0,366
1300,5,74
925,5,96
1225,10,17
830,0,618
1030,5,98
1205,10,18
1195,0,174
1335,10,25
915,5,95
830,5,70
990,5,93
880,0,536
970,5,91
1625,0,25
1015,0,342
1140,0,3016
1315,0,107
1815,5,18
1255,0,138
655,0,964
1355,10,23
1345,0,95
1035,5,108
1535,5,62
1375,10,23
840,5,947
175,0,866
810,0,629
900,5,1043
685,0,883
105,0,359
760,0,747
205,0,1021
355,0,1397
145,0,627
1010,10,13
1450,0,44
1045,5,102
650,0,1020
995,0,383
870,0,582
1165,5,100
1860,0,123
1090,10,16
1200,10,243
1270,5,91
880,5,89
1655,15,9
1125,0,216
30,0,96
715,0,904
790,0,707
815,0,645
980,0,395
1095,5,87
1460,0,62
700,0,816
1315,5,90
630,0,1062
1295,5,93
2090,10,5
870,5,77
675,0,923
1745,5,26
2105,5,17
1185,5,74
1855,5,25
1440,15,125
2265,5,8
945,0,454
2205,5,12
940,5,86
895,0,481
720,0,11047
2185,5,11
1580,15,13
2120,10,6
635,5,30
1020,5,1299
735,0,818
35,0,103
40,0,127
850,0,596
745,0,787
920,5,93
1275,5,84
930,0,448
835,0,591
525,0,1265
795,0,690
60,0,2012
1015,5,105
1115,0,236
1015,10,16
755,5,55
865,5,83
910,10,7
845,5,89
770,5,51
1400,5,67
1555,5,45
140,0,679
1180,0,186
1770,5,20
1215,10,23
710,0,814
855,0,572
1055,0,325
1240,5,85
1045,0,313
825,0,623
610,0,1063
1195,5,98
1005,10,8
1820,5,20
745,5,42
955,0,420
2155,5,8
1455,0,58
1805,5,18
1355,15,7
1145,0,235
1960,5,17
1090,5,100
1855,15,9
1740,5,376
875,5,80
80,0,238
805,0,676
1040,5,75
1165,0,169
780,0,9539
1005,0,367
1415,0,65
1105,0,225
1060,0,278
815,5,70
1355,5,78
1120,5,100
780,5,701
1025,5,94
1235,0,152
1100,5,93
1450,10,27
995,5,114
1630,5,46
1150,5,106
1540,5,42
1150,0,210
900,0,6571
1140,10,205
1155,5,99
1210,5,98
1345,5,71
95,0,329
820,5,57
1480,15,8
1490,5,47
950,0,440
1750,5,37
1070,0,244
890,0,499
1065,5,105
965,0,414
1195,10,15
1405,5,83
1305,10,23
1185,0,180
1420,15,5
1485,5,50
1185,10,23
1525,0,46
1165,10,10
905,0,502
1250,5,92
650,5,33
855,5,71
1140,5,1304
1400,15,10
1115,5,103
935,5,96
1280,5,84
1340,0,105
905,5,94
1205,5,97
1520,5,50
810,5,57
1415,5,65
1780,15,17
1765,5,18
1665,5,26
1220,0,149
1440,0,867
1725,0,12
1295,0,110
1135,5,107
1550,15,18
1500,5,687
1755,0,10
1695,5,32
725,0,804
2060,5,9
1845,5,22
1440,5,848
1385,10,19
1160,5,81
865,0,566
1585,15,16
1620,0,340
1095,10,16
1250,10,16
1465,10,25
1560,0,484
1155,0,208
1265,0,137
2055,0,10
1050,5,109
625,5,15
2255,5,8
1840,15,14
2635,15,5
1395,0,83
1490,10,32
920,0,429
1895,5,27
2550,5,6
1845,15,8
1755,5,16
2160,5,103
720,5,472
20,0,80
65,0,156
1720,5,39
560,5,12
1900,10,20
1815,15,15
2590,10,5
600,5,165
960,0,5482
2455,5,7
1170,10,14
1625,15,8
2220,5,76
975,5,75
1675,5,36
2030,20,6
990,0,354
1280,0,107
860,5,89
1645,15,9
1475,15,15
1550,5,43
1545,5,50
2200,5,7
1495,5,57
1690,5,38
1130,10,19
910,5,99
1765,10,10
915,0,455
975,0,360
2115,5,12
1795,10,22
955,5,99
1435,5,73
2275,5,3
1035,0,303
1855,0,15
2030,5,6
1005,5,100
1835,5,19
1745,15,9
1710,5,19
1475,0,49
1565,5,34
1790,5,30
1650,0,22
1495,10,24
2400,10,66
1360,10,25
1120,0,216
1020,0,4629
1025,0,332
1325,5,79
1210,0,152
1630,15,8
1900,5,19
1560,15,136
1735,15,13
1205,0,165
1975,5,11
1260,5,1195
1710,15,15
2125,5,8
1245,5,88
1970,5,19
1925,10,11
2120,5,12
1090,0,259
1495,15,7
1725,5,31
1780,10,21
75,0,201
1175,5,95
930,5,84
740,5,47
985,0,417
85,0,284
750,5,47
1110,5,105
1865,5,15
1280,10,20
1215,5,88
1560,5,595
1080,0,3586
1010,0,377
1455,15,12
1330,0,100
1295,10,20
1370,0,88
1570,0,33
1420,0,55
1060,5,100
1380,0,1076
1635,10,25
1460,5,54
1365,0,87
1445,10,23
1275,0,123
1830,15,14
1825,20,5
1270,0,131
1770,15,13
1510,10,28
1805,15,10
1500,0,645
1905,5,22
1110,0,256
1590,15,16
1550,10,33
1515,10,21
2180,5,11
2125,10,16
1385,0,90
1250,0,152
1335,0,94
1360,0,89
1350,0,85
2380,5,4
1085,0,242
1180,5,95
1725,20,3
2815,15,6
1095,0,261
835,5,63
1425,0,61
1435,0,59
1010,5,85
785,5,53
1285,0,126
800,5,60
1320,5,1037
1345,10,25
1000,5,90
1245,0,147
1450,5,70
850,5,81
1130,0,212
1225,0,160
1170,0,192
1470,10,30
1760,5,27
1240,0,128
1390,0,66
1215,0,137
1620,10,292
1265,5,85
1370,5,76
710,5,42
1190,0,204
1910,5,13
960,5,1233
1125,10,17
1715,5,38
1355,0,90
1330,5,86
1955,5,11
1590,5,43
1385,5,71
1790,10,15
2165,5,11
1655,5,27
1315,15,9
700,5,36
1160,0,170
1585,5,46
1175,0,175
1200,5,1271
1430,10,33
1505,0,55
1640,15,7
1100,0,249
1040,0,311
1540,0,32
1625,5,31
1305,0,106
1320,0,1398
90,0,302
885,5,70
1940,15,8
1605,0,42
2315,5,6
1410,10,23
1505,5,53
1555,15,9
1530,15,11
1130,5,122
1220,5,89
665,5,32
1655,10,18
1080,5,1388
1700,0,19
1730,0,21
2440,5,9
1870,5,20
1070,5,92
645,5,17
1125,5,100
640,5,29
2285,5,10
2450,10,6
2560,15,7
1340,10,26
805,5,55
1050,0,320
1670,0,16
25,0,91
660,5,332
2150,5,14
2095,10,13
1615,0,26
1520,0,33
1395,5,72
990,10,10
2515,15,6
1670,5,43
1715,15,11
1390,15,8
1570,5,45
1925,15,15
1595,5,42
1885,5,16
1875,0,12
1470,5,53
1410,5,73
1730,5,32
1575,5,55
675,5,27
1890,5,20
1300,0,110
1600,5,48
1650,10,26
2505,5,3
1310,5,64
1230,0,145
1660,5,26
1290,0,108
670,5,28
1200,0,2282
1875,10,18
1515,5,48
1620,5,513
1280,15,5
1170,5,111
1465,5,64
1365,5,85
1410,0,70
1650,5,30
1345,15,10
1660,10,19
1100,10,11
950,5,102
1375,0,83
2240,5,10
1310,0,120
1810,0,11
1610,10,12
1225,5,99
1445,0,60
1260,0,1824
1840,0,9
1055,5,119
1645,0,22
15,0,96
1235,5,77
540,5,70
1545,0,36
1230,5,96
1880,10,9
2640,10,41
1335,5,68
0,5,8
2545,15,9
1055,10,14
1495,0,45
1380,5,956
1145,5,118
1285,10,19
1320,15,69
1085,5,123
1605,10,23
2460,5,33
1320,10,316
2230,5,7
2035,15,6
1685,10,19
725,5,45
1245,10,24
1550,0,46
1540,10,21
1995,10,8
1405,10,29
1910,10,13
2010,5,11
1775,5,28
1665,0,28
1970,15,11
2235,15,10
1895,10,17
1830,0,13
1880,0,13
2020,15,10
5,0,170
1600,0,32
1405,0,75
1340,5,85
1525,15,9
1455,5,46
2290,5,7
2230,15,13
1755,10,24
2065,10,14
1985,5,16
1995,5,6
1490,15,3
775,5,53
1720,0,13
1590,0,37
2160,10,113
1840,5,19
1595,15,13
1785,0,23
1780,5,29
1690,0,16
1260,15,48
2820,10,22
1700,15,12
1485,10,22
1745,0,22
1555,10,23
1785,15,10
1915,10,16
1680,5,409
2410,5,3
2045,15,5
1870,0,15
2110,0,4
2195,10,8
2080,5,12
1480,10,23
705,5,32
1875,5,16
1775,15,15
2340,0,18
1655,0,20
1865,10,18
50,0,112
1735,10,29
1585,0,25
1910,15,9
2005,5,15
2190,10,5
1860,5,256
1530,0,47
1390,10,22
1395,10,29
1255,10,21
1435,10,23
1400,10,20
1545,10,17
1695,0,15
1290,5,97
680,5,27
2735,10,3
1605,15,16
2155,10,7
3105,15,11
2520,15,101
1390,5,75
690,5,29
1945,5,12
1325,10,20
1920,10,203
1980,5,176
1480,0,41
1660,0,31
1610,5,42
1500,10,341
1800,10,253
1740,0,214
1705,0,19
1540,15,15
1075,5,108
1190,10,25
1585,10,19
1820,10,18
1615,10,22
55,0,118
1670,10,20
1760,10,18
1905,15,7
2350,10,7
2175,5,6
1350,10,25
1445,5,58
2150,15,7
715,5,24
2025,5,13
1290,15,5
1120,10,13
1430,0,69
1740,10,263
1795,15,15
1690,15,16
1145,10,16
1210,10,11
1490,0,47
1425,15,9
1385,15,13
1680,10,248
2045,5,10
2190,5,3
1300,10,21
730,5,56
1640,5,29
1375,5,65
1270,10,16
1815,0,8
1040,10,5
1450,15,7
1615,15,16
1455,10,25
1940,10,9
1790,15,13
1730,10,16
1970,10,7
2050,10,8
2305,15,18
1825,10,26
1845,10,15
2100,10,144
1960,15,5
2195,15,13
1875,15,16
1955,10,5
1625,10,25
1735,5,26
1575,10,23
1885,10,13
1105,10,14
1305,5,74
735,5,36
975,10,11
1340,15,5
1745,10,16
1695,10,22
1265,10,22
1510,0,42
1935,10,16
1485,0,45
1565,0,26
2015,5,13
2615,15,7
2555,15,7
1630,10,17
1635,0,24
1980,15,126
1560,10,332
1965,5,14
2720,15,9
3055,15,7
1780,0,13
1710,10,19
1765,15,12
1115,10,21
1700,5,30
1715,0,15
1920,0,81
1440,10,315
1685,5,24
610,5,20
1825,15,7
555,5,15
1775,10,18
1175,10,21
1755,15,9
1415,10,28
1535,10,30
695,5,27
1825,5,19
1025,10,9
2525,15,5
1235,10,24
1420,5,62
2210,5,5
1425,10,21
1110,10,18
1930,5,17
1580,5,36
1965,0,9
970,10,5
1765,0,23
1580,10,29
1640,0,30
3195,15,4
1595,10,18
2775,15,5
2655,15,7
3020,15,6
2420,10,8
2030,0,6
1350,5,80
2305,10,5
2765,15,3
2675,15,6
2980,15,3
2220,10,105
2845,15,5
1565,10,30
1515,0,41
1695,15,17
1685,15,15
1470,0,72
2425,15,5
2745,15,9
1705,5,35
1980,0,60
630,5,23
1880,5,18
2385,10,7
2315,10,7
2015,15,14
1580,0,25
1850,10,15
1630,0,17
1785,10,15
1515,15,9
1510,5,45
2035,10,16
1315,10,22
2850,15,7
1985,10,12
1870,10,19
1815,10,13
1995,15,6
1800,15,152
1520,10,27
1850,15,9
1050,10,11
2240,15,7
2075,15,7
1735,0,16
1465,0,65
1860,15,138
1360,5,61
1535,15,11
1770,10,27
1805,0,13
1085,10,17
1805,10,16
1575,0,35
1590,10,14
1725,10,29
1260,10,275
1645,10,23
1885,15,18
1935,5,11
1160,10,14
1890,10,17
1460,10,24
1675,15,13
1535,0,45
1785,5,20
1760,15,10
1465,15,8
1370,10,29
1705,10,18
1480,5,58
1665,15,13
1160,15,6
2000,5,12
1565,15,13
1610,0,26
995,10,8
2025,10,12
1680,0,263
1830,10,19
2585,5,3
1860,10,212
1970,20,10
1670,15,9
2025,15,12
2290,15,6
2520,20,20
535,5,9
590,5,14
1965,10,10
1740,15,198
605,5,6
1725,15,11
1605,5,33
1820,0,8
650,15,6
955,10,7
2265,15,9
2505,10,4
655,5,23
1230,10,21
1795,5,31
1835,0,9
1595,0,27
1365,10,29
1940,0,4
1885,0,6
2115,10,15
1950,5,12
2260,15,6
1790,0,11
1960,10,17
1700,10,19
1420,10,27
2280,10,85
2735,15,10
1940,5,15
2640,0,5
905,10,4
1880,15,10
2760,0,7
2260,10,13
2340,5,42
2760,5,21
2140,5,10
1330,10,30
2310,5,8
2215,10,10
1920,20,37
1530,5,40
1810,5,10
2300,10,5
2070,5,16
1920,5,212
2595,15,5
1990,5,16
2040,5,143
1150,10,18
2370,15,9
2145,15,16
1715,10,15
1415,15,11
2350,15,8
1925,5,13
2060,10,7
1635,15,9
2145,5,12
1475,10,20
2420,15,9
1705,15,13
2040,10,138
1525,10,19
1505,10,21
2145,10,13
2105,10,12
580,5,12
1720,10,13
2575,15,8
565,5,11
1930,10,17
2000,10,10
1865,15,6
2100,5,99
1685,0,25
2270,15,8
1835,10,17
2830,15,8
2135,10,11
2130,10,10
1650,15,16
2910,15,6
2070,15,13
2310,15,5
2195,5,7
2340,15,122
1675,10,25
2030,15,7
1220,10,20
2500,15,10
2335,10,12
2665,15,7
1830,5,23
2365,15,9
1850,5,31
2455,15,8
2295,10,4
2940,15,88
2235,10,7
2340,10,74
1475,5,56
2955,15,10
1990,15,11
1960,0,11
2660,15,6
2515,10,3
2600,15,8
1750,10,19
2450,15,5
575,5,13
2530,0,3
2280,15,110
1750,15,7
1555,0,40
2725,15,8
1930,0,8
1845,0,13
1920,15,132
2055,10,8
2020,5,13
1750,0,21
1915,0,8
2065,5,10
1380,10,324
1640,10,19
1530,10,28
1800,5,287
2095,5,9
620,5,17
945,10,8
1065,10,10
3120,15,59
3300,15,50
1835,15,10
2480,15,7
1900,0,3
1365,15,8
2610,15,8
2310,10,6
2390,10,5
2055,5,16
2050,5,9
2620,10,6
1975,10,12
1840,10,11
1865,0,13
2445,15,11
1665,10,18
1810,15,10
1805,20,5
2010,15,6
2090,5,10
2090,15,8
2945,15,4
615,5,10
1770,0,12
1570,10,30
1635,5,28
2010,10,13
2880,15,77
545,5,8
2065,15,11
1445,15,10
1645,5,40
2375,0,4
2055,15,5
1080,10,160
2110,10,11
2640,20,16
2020,10,10
2110,15,11
2400,20,22
2460,0,8
1775,0,10
1310,10,14
1945,10,11
1895,0,7
2920,15,8
1820,15,3
2375,15,8
1615,5,34
1290,10,22
2710,10,3
1950,15,11
1760,0,10
2165,10,5
2110,5,14
2920,0,3
1950,10,14
1075,10,10
2085,10,9
1800,0,144
2075,10,12
2080,0,9
2460,10,56
2325,10,8
1620,15,152
2760,20,14
1675,0,17
2460,15,93
2330,5,6
1600,10,24
2095,0,4
2005,10,6
1895,15,12
3065,20,9
3045,15,7
2440,10,3
1795,0,16
2130,5,9
1070,10,8
2570,15,8
2070,10,4
1240,10,25
2505,15,12
2965,15,4
2325,15,10
2400,15,113
1730,15,9
2580,20,21
2695,15,8
1620,20,6
1360,15,3
2785,15,7
1155,10,13
1275,10,21
2550,15,4
1720,15,11
1710,0,16
1935,15,6
2295,15,9
1890,0,8
1810,10,16
2030,10,16
2185,15,3
2520,10,44
2140,10,6
2255,10,5
2350,5,3
1915,5,11
2490,15,11
3420,15,32
3500,15,7
980,10,8
2170,15,12
1045,10,12
1035,10,10
2360,15,9
2300,15,9
1990,10,6
925,10,3
1870,15,10
2085,15,9
920,10,6
2035,5,11
1180,10,11
965,10,6
2520,5,34
1460,15,9
1060,10,10
2355,15,5
1545,15,10
1020,10,100
2315,15,13
2185,10,6
2605,15,5
3000,15,73
1600,15,10
2755,15,9
2100,15,132
1855,10,18
1135,10,16
2010,20,3
485,5,3
2200,10,10
2045,10,9
2085,0,3
2165,15,8
1980,10,181
2320,10,8
2415,10,3
2210,10,11
1825,0,10
2045,0,6
2385,15,8
2865,15,9
1905,10,9
2790,15,7
2245,10,9
2170,5,6
2130,15,9
2015,10,13
2890,15,12
2160,15,116
1850,20,3
2275,15,7
2345,15,4
3180,15,65
2580,15,92
2495,15,11
2370,5,5
2800,15,7
3290,15,5
2220,15,108
2475,15,9
1510,15,11
2460,20,14
3345,15,3
2075,5,10
2580,10,45
2400,5,51
1430,15,5
2225,10,5
2825,15,9
940,10,6
1505,15,13
1690,10,17
1330,15,8
1850,0,3
1915,15,12
1905,0,7
1575,15,9
2120,15,8
2750,15,10
